entity,logs_listed,string_matches,logs_w_author,top_author,top_author_share,n_distinct_authors,proposed_player_dbref,confidence,relationship
Halo,1,53,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Crystal,1,50,1,Kyrin Sh'vani,1.0,1,9395,med,ext_uploader:Kyrin Sh'vani
Jarin,1,50,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Scar,1,45,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Terrin,1,43,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Paladin,1,40,1,Tyler Damion,1.0,1,3751,med,ext_uploader:Tyler Damion
Halos,1,40,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Lila,1,39,1,Inanna Jordain,1.0,1,,med,ext_uploader:Inanna Jordain
Aren,1,38,1,Sabrina Rheatis,1.0,1,8223,med,ext_uploader:Sabrina Rheatis
Satine,1,36,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Singe,1,36,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Raver,1,35,1,Axel Vichten,1.0,1,9768,med,ext_uploader:Axel Vichten
Durjan,1,35,1,Auxin Valerius,1.0,1,,med,ext_uploader:Auxin Valerius
Stail,1,35,1,Krieg Inrokana,1.0,1,3692,med,ext_uploader:Krieg Inrokana
Quick,1,34,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Maelle,1,33,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Ahkaurakh,1,32,1,Luke Skywalker,1.0,1,2043,med,ext_uploader:Luke Skywalker
Yadumu,1,31,1,K'tyyri Tarashabi,1.0,1,3768,med,ext_uploader:K'tyyri Tarashabi
Lokus,1,31,1,Krieg Inrokana,1.0,1,3692,med,ext_uploader:Krieg Inrokana
Machkeu,1,31,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Sid,1,31,1,Adam Shadow,1.0,1,11813,med,ext_uploader:Adam Shadow
Ayra,1,30,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Dagon,1,30,1,67.184.5.213,1.0,1,,med,ext_uploader:67.184.5.213
Xanthe,1,29,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Maxxen,1,29,1,Inanna Jordain,1.0,1,,med,ext_uploader:Inanna Jordain
Kora,1,29,1,Adam Shadow,1.0,1,11813,med,ext_uploader:Adam Shadow
Lanthazar,1,29,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Ghost 8,1,29,1,Jonas,1.0,1,11782,med,ext_uploader:Jonas
Sneer,1,29,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Vix,1,28,1,Malus,1.0,1,10062,med,ext_uploader:Malus
Armstrong,1,28,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Rodo,1,26,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Quila,1,26,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Cole,1,26,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Tantrix,1,25,1,Drax Rendolen,1.0,1,4373,med,ext_uploader:Drax Rendolen
Cheko,1,25,1,Jared Starwind,1.0,1,9707,med,ext_uploader:Jared Starwind
Ricoar,1,25,1,Gren Delede,1.0,1,,med,ext_uploader:Gren Delede
Zarcane,1,25,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Uriel,1,24,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Kain,1,24,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Winthrop,1,24,1,Billious Qarrack,1.0,1,,med,ext_uploader:Billious Qarrack
Dawn,1,24,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Captain Diggs,1,24,1,Han,1.0,1,1491,med,ext_uploader:Han
Verin,1,24,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Stoneface,1,23,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Eddie,1,23,1,Luke Skywalker,1.0,1,2043,med,ext_uploader:Luke Skywalker
Emma,1,23,1,Gimel Daleth,1.0,1,,med,puppet_of:Gimel Daleth
Fulk,1,23,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Grei,1,22,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
TK-2501,1,22,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Gillian,1,22,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Legato,1,22,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Hanna,1,22,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Snal'Fashtalli,1,22,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Seyyid,1,21,1,Seyyid,1.0,1,,med,self(player)
Aidon,1,21,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Yashar,1,21,1,Athena,1.0,1,7787,med,ext_uploader:Athena
Vzzee,1,21,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Gorgan,1,21,1,Lynae,1.0,1,9311,med,ext_uploader:Lynae
Alan,1,21,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Dak,1,20,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Zhamari,1,20,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Ross,1,20,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Jingle,1,20,1,Axel Vichten,1.0,1,9768,med,ext_uploader:Axel Vichten
Rislyn,1,20,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
